GRD_ID,totalpop_1km,dnk_1km,immigrants_1km,eu_immigrants_1km,noneu_immigrants_1km
"4468000","2217","1867","217","57","160"
"4469000","3197","2361","542","90","452"
"4470000","362","257","70","20","50"
"4471000","3718","3187","352","110","242"
"4472000","3443","2694","484","106","378"
"4473000","599","471","81","17","64"
"4474000","5220","3748","984","229","755"
"4475000","4054","2640","1006","225","781"
"4476000","5753","3164","1659","307","1352"
"4477000","5897","1321","2927","445","2482"
"4478000","1086","1013","62","27","35"
"4479000","723","664","51","28","23"
"4480000","6719","4762","1398","376","1022"
"4481000","5051","3391","1163","325","838"
"4482000","8084","6291","1367","593","774"
"4483000","2262","1887","328","165","163"
"4466000","2","2","0","0","0"
"4467000","533","391","78","11","67"
"4468000","3902","2937","630","92","538"
"4469000","3735","2940","603","153","450"
"4470000","217","168","38","18","20"
"4471000","402","343","37","10","27"
"4472000","2506","2132","261","95","166"
"4473000","3719","3180","359","83","276"
"4474000","2871","2272","401","102","299"
"4475000","2477","2067","270","86","184"
"4476000","4255","2718","1199","518","681"
"4477000","4558","1988","1601","179","1422"
"4478000","2965","2639","273","98","175"
"4479000","5132","4229","730","335","395"
"4480000","3810","3086","588","230","358"
"4481000","2444","2003","377","163","214"
"4482000","4233","3026","945","379","566"
"4483000","1308","1098","193","91","102"
"4484000","32","29","2","2","0"
"4466000","475","431","36","16","20"
"4467000","35","34","1","0","1"
"4468000","1327","1076","167","48","119"
"4469000","2674","2280","270","62","208"
"4470000","1011","949","49","20","29"
"4471000","61","57","4","3","1"
"4472000","1989","1787","144","48","96"
"4473000","3853","2931","546","81","465"
"4474000","2801","2119","519","243","276"
"4475000","2086","1592","342","69","273"
"4476000","378","281","64","9","55"
"4477000","897","711","151","54","97"
"4478000","4951","4172","635","208","427"
"4479000","4887","4093","641","296","345"
"4480000","3199","2668","448","197","251"
"4481000","2795","2306","435","222","213"
"4482000","5049","4175","782","359","423"
"4483000","1473","1325","135","72","63"
"4463000","9","9","0","0","0"
"4465000","20","15","4","1","3"
"4466000","2774","2374","284","97","187"
"4467000","2225","1951","190","50","140"
"4468000","850","795","44","21","23"
"4469000","635","578","38","12","26"
"4470000","2227","1948","193","77","116"
"4471000","1085","991","60","17","43"
"4472000","902","780","82","24","58"
"4473000","2195","1819","239","48","191"
"4474000","783","585","136","12","124"
"4475000","1941","1724","155","62","93"
"4476000","2865","2337","381","112","269"
"4477000","4397","3492","748","272","476"
"4478000","5162","4249","689","197","492"
"4479000","3418","2811","496","196","300"
"4480000","3196","2789","355","144","211"
"4481000","3250","2774","430","198","232"
"4482000","3354","2857","446","204","242"
"4483000","1900","1715","171","88","83"
"4464000","16","16","0","0","0"
"4465000","11","11","0","0","0"
"4466000","999","948","39","13","26"
"4467000","1278","1150","79","25","54"
"4468000","157","148","8","0","8"
"4469000","10","10","0","0","0"
"4470000","339","329","10","7","3"
"4471000","1905","1791","86","51","35"
"4472000","502","429","51","17","34"
"4473000","1363","928","291","62","229"
"4474000","2017","885","746","126","620"
"4475000","3125","2754","277","104","173"
"4476000","3689","3294","307","157","150"
"4477000","3610","3070","435","159","276"
"4478000","1625","1271","278","60","218"
"4479000","2688","1785","742","169","573"
"4480000","2178","1870","272","90","182"
"4481000","2288","1833","418","190","228"
"4482000","4123","3564","496","268","228"
"4483000","821","722","92","31","61"
"4484000","11","10","0","0","0"
"4473000","385","359","20","10","10"
"4474000","3082","2344","529","163","366"
"4475000","3415","2839","472","178","294"
"4476000","3427","3048","311","139","172"
"4477000","3921","3397","439","208","231"
"4478000","3519","2932","478","160","318"
"4479000","3016","2395","510","161","349"
"4480000","2033","1768","234","104","130"
"4481000","2219","1892","295","126","169"
"4482000","5001","4102","801","456","345"
"4483000","4816","4148","584","294","290"
"4484000","705","620","69","43","26"
"4472000","1","1","0","0","0"
"4473000","2","2","0","0","0"
"4474000","290","266","20","7","13"
"4475000","66","64","2","1","1"
"4476000","1381","1228","138","86","52"
"4477000","2693","2267","360","142","218"
"4478000","3989","3273","604","232","372"
"4479000","1374","1046","253","43","210"
"4480000","340","314","25","8","17"
"4481000","519","470","43","21","22"
"4482000","775","677","91","42","49"
"4483000","2120","1756","318","98","220"
"4484000","20","15","5","0","5"
"4474000","47","46","0","0","0"
"4475000","1573","1457","106","52","54"
"4476000","2610","2289","236","64","172"
"4477000","748","658","78","33","45"
"4478000","3589","2766","698","189","509"
"4479000","1810","1243","426","144","282"
"4480000","690","628","52","31","21"
"4482000","6","3","3","0","3"
"4483000","640","558","80","53","27"
"4473000","12","12","0","0","0"
"4474000","1633","1477","131","70","61"
"4475000","3584","3253","277","116","161"
"4476000","4098","3664","360","157","203"
"4477000","1356","1267","79","23","56"
"4478000","2772","2386","337","150","187"
"4479000","1177","997","148","66","82"
"4480000","1422","1257","145","64","81"
"4483000","1229","1123","98","47","51"
"4473000","167","158","9","3","6"
"4474000","1124","1014","84","37","47"
"4475000","1301","1208","81","42","39"
"4476000","1968","1732","199","89","110"
"4477000","1306","1242","60","31","29"
"4478000","1695","1512","160","73","87"
"4479000","1808","1098","517","124","393"
"4480000","1354","1076","236","93","143"
"4483000","125","111","14","6","8"
"4481000","82","74","7","5","2"
"4482000","4","4","0","0","0"
"4483000","7","7","0","0","0"
