GRD_ID,totalpop_1km,students_1km,mobile_adults_1km,elderly_1km,births_1km,deaths_1km,marriagesM_1km,marriagesF_1km,tert_education_1km,rich_new_1km,poor_new_1km
"4462000","1059","78","212","156","12","3","3","3","527","384","37"
"4463000","1230","199","253","175","18","8","10","8","456","168","94"
"4464000","6283","1124","1562","656","79","29","62","64","1742","110","924"
"4465000","3260","531","708","536","42","38","28","25","1042","190","444"
"4466000","3480","377","651","616","28","26","17","19","1140","463","282"
"4467000","936","92","141","278","13","10","4","5","272","184","30"
"4468000","2271","202","439","413","18","20","8","9","509","72","189"
"4469000","3485","290","599","850","27","39","24","21","1301","609","137"
"4470000","1181","62","194","243","10","7","5","5","471","342","39"
"4471000","820","61","180","139","9","4","8","6","283","143","42"
"4472000","2661","301","476","530","25","29","12","12","761","252","177"
"4473000","457","63","63","102","2","6","1","1","118","61","43"
"4474000","217","43","61","27","3","3","0","0","37","28","14"
"4475000","1216","81","213","252","11","3","6","7","395","220","84"
"4476000","3875","788","682","733","35","45","14","17","924","127","596"
"4477000","3738","396","849","582","44","77","25","23","1758","716","166"
"4478000","4238","596","943","640","53","57","28","31","1680","354","532"
"4479000","1030","144","233","132","14","4","7","4","359","23","138"
"4480000","7709","1796","1965","1117","89","73","58","62","3650","306","1108"
"4481000","5927","1500","1868","220","139","6","49","43","4085","1741","495"
"4482000","4","0","2","1","0","0","0","0","3","0","0"
"4483000","441","25","131","51","6","0","3","4","282","137","24"
"4484000","4172","506","1019","521","61","52","26","27","2004","577","451"
"4485000","7486","1391","1701","1036","103","61","51","50","3699","997","825"
"4486000","5704","684","1246","934","58","41","28","28","2511","1060","540"
"4487000","1549","136","253","325","19","10","13","13","427","133","84"
"4493000","2","0","0","2","0","0","0","0","0","0","0"
"4457000","132","12","30","17","1","1","1","1","40","20","9"
"4458000","1939","118","392","377","15","14","12","12","766","314","47"
"4459000","606","48","117","130","3","2","1","3","206","87","28"
"4460000","1","0","1","0","0","0","0","0","0","0","0"
"4461000","5","0","0","3","0","0","0","0","0","0","0"
"4462000","121","41","43","5","1","1","2","0","11","0","64"
"4463000","24","3","6","1","1","0","0","0","0","5","2"
"4464000","13","0","4","3","0","0","0","0","3","0","5"
"4465000","1022","252","248","165","16","7","10","10","315","49","132"
"4466000","2076","280","436","391","22","20","17","17","762","277","242"
"4467000","699","51","102","163","4","6","5","6","255","97","58"
"4468000","3931","482","782","668","51","31","16","16","808","56","539"
"4469000","3375","714","663","678","43","50","13","16","1061","129","481"
"4470000","408","33","87","51","4","1","4","5","159","73","9"
"4471000","1361","90","315","192","17","4","9","9","514","221","53"
"4472000","4668","735","941","919","58","39","41","36","1463","330","334"
"4473000","825","55","105","295","7","25","8","7","267","91","25"
"4474000","1296","88","211","340","13","8","5","5","516","268","72"
"4475000","1074","51","202","229","12","10","9","8","480","325","27"
"4476000","4747","793","1001","742","50","41","32","28","1940","472","380"
"4477000","6489","1475","1574","725","96","45","51","53","2678","371","870"
"4478000","5295","1315","1451","418","101","21","43","45","2529","513","676"
"4479000","6881","1862","1926","467","135","63","63","56","4450","937","711"
"4480000","7864","1888","1991","906","100","77","44","43","3083","95","1582"
"4481000","5467","2504","1501","92","78","6","64","51","3874","761","655"
"4482000","2850","250","990","119","52","3","32","29","2125","1591","148"
"4483000","45","1","12","3","1","0","0","0","29","17","2"
"4484000","11340","3513","2153","1435","104","121","57","60","4629","391","2678"
"4485000","14695","3850","3846","1377","201","63","95","100","7786","1266","1823"
"4486000","4905","609","1102","611","60","29","23","26","2956","1315","337"
"4487000","411","58","88","39","2","2","1","1","260","140","35"
"4457000","66","1","19","10","2","1","0","0","43","12","7"
"4458000","26","5","1","3","1","0","0","0","14","5","7"
"4460000","41","2","10","4","0","0","0","0","9","1","1"
"4461000","45","5","8","8","1","0","0","0","6","8","4"
"4462000","27","2","10","5","0","0","0","0","5","5","2"
"4463000","23","1","5","2","0","1","0","0","5","6","1"
"4464000","58","7","14","5","1","0","0","0","18","8","0"
"4465000","23","5","8","0","0","0","1","1","11","2","2"
"4466000","5","0","0","1","0","1","0","0","0","0","0"
"4467000","1760","102","226","513","14","11","5","7","643","276","52"
"4468000","2657","290","618","306","34","15","19","22","1124","300","159"
"4469000","3586","404","650","530","34","19","19","18","1277","211","286"
"4470000","2428","221","433","662","19","23","9","9","542","75","327"
"4471000","3724","648","735","816","51","65","31","27","1244","319","354"
"4472000","4522","758","918","828","60","65","29","27","1661","405","358"
"4473000","1644","203","298","389","18","16","6","4","376","76","125"
"4474000","6464","1001","1227","1365","89","89","38","40","1507","200","668"
"4475000","5447","1137","1077","1017","67","52","28","26","1814","257","789"
"4476000","3593","394","746","579","40","26","20","17","1782","715","223"
"4477000","5329","1110","1243","568","78","39","32","28","3063","836","563"
"4478000","9110","1922","2161","943","107","85","52","60","5246","1321","1079"
"4479000","14975","4413","3822","1608","240","96","145","125","8670","1137","1752"
"4480000","4313","1053","1193","375","86","14","36","33","2591","576","723"
"4481000","13666","2918","4643","783","280","46","111","104","9209","1105","1700"
"4482000","4416","716","1413","416","87","11","41","41","3172","1598","275"
"4483000","9520","1656","2970","897","198","35","91","93","6504","1397","911"
"4484000","18347","5264","4498","1857","273","114","160","152","9980","1203","3104"
"4485000","20671","6106","5710","1757","320","81","181","173","10823","1138","3156"
"4486000","9283","1977","2510","1048","198","50","69","67","5781","1967","719"
"4493000","0","0","0","0","0","0","0","0","0","0","0"
"4457000","11","1","0","2","0","0","0","0","8","4","0"
"4458000","83","7","13","11","0","0","1","1","20","11","9"
"4459000","62","4","8","11","0","1","0","0","15","8","5"
"4460000","17","1","3","2","0","0","0","0","8","2","2"
"4461000","367","27","61","81","1","2","1","1","124","64","11"
"4462000","355","18","60","75","2","1","1","1","129","66","37"
"4463000","471","30","91","105","3","22","1","1","194","99","10"
"4464000","19","6","1","0","0","0","0","0","4","4","1"
"4465000","9","0","4","1","0","0","0","0","8","0","0"
"4466000","33","2","3","8","0","0","0","0","10","7","0"
"4467000","98","8","15","19","0","0","0","0","38","29","2"
"4468000","3253","449","544","678","39","21","21","21","1220","239","321"
"4469000","3697","1116","738","359","35","6","20","17","1436","282","693"
"4470000","2693","234","457","685","28","24","20","19","1173","425","99"
"4471000","1155","199","250","183","10","8","6","7","389","133","147"
"4472000","2322","143","435","377","24","14","11","12","1031","469","59"
"4473000","468","25","86","80","1","0","3","2","161","127","31"
"4474000","1904","399","453","247","54","10","24","20","871","295","106"
"4475000","6957","1170","1461","1153","104","54","44","43","2300","451","711"
"4476000","3771","514","802","650","49","43","27","24","1921","702","236"
"4477000","5388","1247","1276","658","71","26","40","39","3054","897","586"
"4478000","8584","1467","1408","2485","65","227","42","40","4337","1531","884"
"4479000","4401","961","946","642","66","20","36","38","3046","1065","398"
"4480000","11942","1570","2710","2224","174","69","102","92","8436","3424","950"
"4481000","24167","4956","6881","2171","405","105","185","173","16321","3495","3078"
"4482000","5015","1290","1442","422","76","17","40","42","3463","744","833"
"4483000","4295","755","1104","627","45","15","44","33","3138","1294","503"
"4484000","14060","4104","3600","1589","186","73","84","84","8104","1319","4349"
"4485000","1590","519","493","80","27","5","16","16","874","140","238"
"4486000","21","1","9","2","1","0","0","0","12","2","2"
"4460000","34","1","8","7","0","0","1","1","15","8","0"
"4461000","188","7","35","26","2","0","3","3","63","41","0"
"4462000","326","21","81","50","4","1","4","4","128","61","22"
"4463000","126","9","27","18","2","0","2","2","61","34","15"
"4464000","19","0","6","2","0","0","0","0","5","0","1"
"4465000","268","15","52","43","4","1","1","1","120","88","5"
"4466000","17","0","3","4","0","0","0","0","9","4","2"
"4467000","88","0","13","19","1","0","1","1","35","6","17"
"4468000","1","0","0","0","0","0","0","0","0","0","0"
"4469000","101","6","28","18","0","0","0","0","52","34","0"
"4470000","253","18","38","67","1","3","0","0","150","77","8"
"4471000","212","20","34","21","1","0","0","0","27","8","6"
"4472000","2081","184","339","402","19","43","7","8","527","271","179"
"4473000","1849","204","470","172","26","7","14","16","657","286","83"
"4474000","2371","128","426","573","20","21","12","13","927","403","72"
"4475000","4399","719","858","741","49","38","22","22","1283","320","428"
